iter	Logloss
0	0.6905284071
1	0.6878026394
2	0.6847995184
3	0.681636612
4	0.6782546643
5	0.6752003088
6	0.67091072
7	0.6679956628
8	0.6644347489
9	0.6609436445
10	0.6574166619
11	0.6544334574
12	0.6516395734
13	0.648734854
14	0.6456593381
15	0.6433849091
16	0.6407366816
17	0.638379203
18	0.6355687451
19	0.6329124507
20	0.6310018011
21	0.6284520239
22	0.6261079166
23	0.623594583
24	0.620682457
25	0.6177257322
26	0.6150871867
27	0.6127419577
28	0.6097392772
29	0.6070917126
30	0.6043878272
31	0.6017772864
32	0.5986064854
33	0.5955093237
34	0.5939501504
35	0.5916105581
36	0.5891565129
37	0.5870290745
38	0.5839818784
39	0.5810077156
40	0.5783512334
41	0.5762959785
42	0.5734423708
43	0.5709691116
44	0.5688959191
45	0.5662430685
46	0.5637955298
47	0.5615179874
48	0.5590683522
49	0.5566833707
50	0.5544811686
51	0.5519011872
52	0.5497296808
53	0.5472572326
54	0.5449849992
55	0.5421892327
56	0.5405158851
57	0.5379864236
58	0.535162486
59	0.5326430923
60	0.5297830473
61	0.5270962597
62	0.5249438789
63	0.5225218324
64	0.5209720248
65	0.5187876587
66	0.5166169574
67	0.5141678373
68	0.5118816337
69	0.509853674
70	0.5081947913
71	0.5063724906
72	0.5039959823
73	0.5018403803
74	0.4999652437
75	0.4978430759
76	0.4962243021
77	0.4941175027
78	0.4919587176
79	0.4896756306
80	0.4873795448
81	0.4849142389
82	0.4825497711
83	0.480845716
84	0.4787840441
85	0.4774254216
86	0.4752864489
87	0.4733570789
88	0.4711897327
89	0.468756368
90	0.4668091338
91	0.4652544418
92	0.4634682849
93	0.4614191817
94	0.4596505269
95	0.4575264037
96	0.4564053747
97	0.4545338876
98	0.4527302029
99	0.4509292173
100	0.4493521208
101	0.447697196
102	0.4452202004
103	0.4438122511
104	0.4416114591
105	0.4400143221
106	0.4380200825
107	0.4364517144
108	0.4345777484
109	0.4328502496
110	0.4315121565
111	0.4302587829
112	0.4285594448
113	0.4266567794
114	0.4247631933
115	0.4231382838
116	0.4213513376
117	0.4201713563
118	0.4186693965
119	0.4175370023
120	0.4163128102
121	0.4150905246
122	0.4137240544
123	0.4124514425
124	0.4110369952
125	0.4098574178
126	0.4076864529
127	0.4061635392
128	0.4047275074
129	0.4034105378
130	0.4019326675
131	0.4004506566
132	0.3986560512
133	0.397063376
134	0.3956094158
135	0.3941998848
136	0.392444193
137	0.3912265563
138	0.3899821679
139	0.3886581713
140	0.3875192339
141	0.3860662375
142	0.3845778424
143	0.3826064992
144	0.3806746318
145	0.3793060291
146	0.3778739241
147	0.3766375091
148	0.375890599
149	0.3743405242
150	0.3731703162
151	0.3717086437
152	0.3706608178
153	0.3693745811
154	0.3682071459
155	0.3672129727
156	0.3661842576
157	0.365054285
158	0.3634998518
159	0.3621147505
160	0.3613404301
