iter	Passed	Remaining
418	6182	8573
419	6208	8573
420	6232	8570
421	6254	8567
422	6290	8580
423	6345	8619
424	6378	8630
425	6411	8638
426	6440	8642
427	6475	8654
428	6500	8651
429	6526	8650
430	6566	8668
431	6600	8677
432	6633	8686
433	6657	8681
434	6676	8672
435	6694	8659
436	6711	8646
437	6734	8641
438	6754	8631
439	6771	8618
440	6789	8605
441	6805	8591
442	6821	8577
443	6843	8569
444	6862	8558
445	6881	8547
446	6903	8540
447	6923	8530
448	6945	8522
449	6961	8509
450	6979	8495
451	6996	8482
452	7011	8466
453	7029	8453
454	7046	8440
455	7062	8425
456	7079	8411
457	7100	8402
458	7119	8391
459	7150	8394
460	7168	8381
461	7188	8371
462	7209	8361
463	7227	8348
464	7244	8334
465	7261	8320
466	7278	8306
467	7293	8290
468	7311	8278
469	7329	8264
470	7352	8258
471	7377	8253
472	7400	8245
473	7419	8233
474	7439	8222
475	7458	8210
476	7476	8197
477	7492	8182
478	7509	8168
479	7529	8156
480	7546	8143
481	7564	8129
482	7582	8116
483	7602	8105
484	7620	8092
485	7637	8078
486	7655	8064
487	7675	8053
488	7693	8040
489	7714	8028
490	7732	8016
491	7750	8002
492	7767	7987
493	7783	7972
494	7801	7959
495	7820	7947
496	7837	7932
497	7855	7918
498	7877	7909
499	7903	7903
500	7920	7888
501	7940	7876
502	7957	7862
503	7977	7850
504	7995	7837
505	8013	7823
506	8031	7809
507	8051	7798
508	8070	7785
509	8090	7773
510	8110	7761
511	8128	7747
512	8151	7737
513	8170	7725
514	8189	7712
515	8206	7697
516	8224	7683
517	8243	7670
518	8262	7657
519	8282	7645
520	8300	7631
521	8319	7618
522	8342	7608
523	8362	7596
524	8384	7586
525	8405	7574
526	8424	7561
527	8442	7546
528	8467	7539
529	8488	7527
530	8509	7516
531	8531	7505
532	8549	7490
533	8567	7476
534	8590	7466
535	8608	7452
536	8627	7439
537	8648	7427
538	8665	7411
539	8681	7395
540	8698	7379
541	8714	7364
542	8729	7347
543	8748	7332
544	8763	7316
545	8778	7299
546	8796	7284
547	8812	7269
548	8831	7254
549	8850	7241
550	8867	7226
551	8885	7211
552	8904	7197
553	8921	7181
554	8938	7166
555	8955	7151
556	8971	7135
557	8986	7118
558	9002	7102
559	9017	7085
560	9035	7070
561	9054	7056
562	9071	7040
563	9087	7025
564	9105	7010
565	9118	6992
566	9135	6976
567	9156	6963
568	9174	6949
569	9191	6933
570	9204	6915
571	9208	6890
572	9213	6865
573	9217	6841
574	9221	6816
575	9226	6791
576	9231	6767
577	9237	6743
578	9241	6719
579	9245	6694
580	9249	6670
581	9253	6645
582	9256	6620
583	9260	6596
584	9263	6571
585	9267	6547
586	9271	6523
587	9275	6499
588	9285	6479
589	9293	6458
590	9301	6437
591	9310	6416
592	9321	6397
593	9329	6376
594	9338	6356
595	9345	6334
596	9353	6314
597	9358	6291
598	9363	6268
599	9367	6245
600	9372	6222
601	9376	6198
602	9379	6175
603	9383	6152
604	9387	6128
605	9390	6105
606	9394	6082
607	9398	6059
608	9401	6036
609	9406	6014
610	9411	5992
611	9416	5970
612	9421	5948
613	9426	5925
614	9431	5904
615	9436	5882
616	9441	5860
617	9447	5839
618	9451	5817
619	9456	5795
620	9459	5773
621	9463	5751
622	9467	5729
623	9471	5707
624	9475	5685
625	9482	5664
626	9485	5643
627	9490	5621
628	9494	5600
629	9498	5578
630	9501	5556
631	9505	5534
632	9508	5513
633	9512	5491
634	9515	5469
635	9519	5448
636	9522	5426
637	9526	5405
638	9530	5384
639	9534	5363
640	9538	5341
641	9541	5320
642	9545	5299
643	9549	5278
644	9552	5257
645	9555	5236
646	9559	5215
647	9562	5194
648	9566	5173
649	9570	5153
650	9573	5132
651	9576	5111
652	9580	5091
653	9583	5070
654	9587	5049
655	9590	5029
656	9594	5008
657	9597	4988
658	9601	4968
659	9607	4949
660	9610	4928
661	9614	4908
662	9618	4888
663	9622	4869
664	9625	4848
665	9628	4828
666	9632	4808
667	9636	4789
668	9639	4769
669	9643	4749
670	9646	4730
671	9650	4710
672	9653	4690
673	9656	4670
674	9659	4650
675	9662	4631
676	9666	4611
677	9669	4592
678	9672	4572
679	9676	4553
680	9680	4534
681	9684	4515
682	9688	4496
683	9692	4477
684	9696	4458
685	9700	4440
686	9704	4421
687	9707	4402
688	9710	4383
689	9713	4364
690	9717	4345
691	9720	4326
692	9724	4307
693	9727	4289
694	9731	4270
695	9735	4252
696	9740	4234
697	9743	4215
698	9746	4196
699	9749	4178
700	9753	4160
701	9758	4142
702	9761	4124
703	9766	4106
704	9772	4089
705	9775	4070
706	9779	4052
707	9782	4034
708	9786	4016
709	9789	3998
710	9791	3980
711	9795	3962
712	9798	3944
713	9801	3926
714	9805	3908
715	9808	3890
716	9811	3872
717	9815	3855
718	9818	3837
719	9822	3819
720	9825	3802
721	9830	3785
722	9834	3767
723	9838	3750
724	9842	3733
725	9846	3716
726	9851	3699
727	9854	3682
728	9858	3664
729	9861	3647
730	9864	3630
731	9867	3612
732	9870	3595
733	9874	3578
734	9877	3561
735	9880	3544
736	9884	3527
737	9888	3510
738	9891	3493
739	9894	3476
740	9897	3459
741	9901	3442
742	9905	3426
743	9908	3409
744	9912	3392
745	9915	3376
746	9921	3360
747	9924	3343
748	9927	3326
749	9931	3310
750	9935	3294
751	9938	3277
752	9942	3261
753	9945	3244
754	9949	3228
755	9953	3212
756	9957	3196
757	9961	3180
758	9965	3164
759	9968	3148
760	9972	3131
761	9975	3115
762	9979	3099
763	9982	3083
764	9986	3067
765	9990	3051
766	9993	3035
767	9996	3019
768	10000	3003
769	10004	2988
770	10009	2972
771	10012	2957
772	10018	2941
773	10028	2928
774	10032	2912
775	10036	2897
776	10040	2881
777	10043	2865
778	10046	2850
779	10050	2834
780	10053	2819
781	10057	2803
782	10060	2788
783	10064	2772
784	10068	2757
785	10072	2742
786	10076	2727
787	10080	2712
788	10084	2696
789	10088	2681
790	10091	2666
791	10094	2651
792	10097	2635
793	10101	2620
794	10104	2605
795	10106	2590
796	10110	2575
797	10113	2559
798	10116	2545
799	10119	2529
800	10122	2514
801	10126	2500
802	10129	2485
803	10133	2470
804	10136	2455
805	10139	2440
806	10142	2425
807	10146	2410
808	10149	2396
809	10153	2381
810	10156	2366
811	10159	2352
812	10162	2337
813	10166	2323
814	10169	2308
815	10172	2293
816	10176	2279
817	10179	2264
818	10184	2250
819	10188	2236
820	10191	2222
821	10195	2207
822	10198	2193
823	10202	2179
824	10205	2164
825	10208	2150
826	10211	2136
827	10214	2121
828	10217	2107
829	10221	2093
830	10225	2079
831	10228	2065
832	10232	2051
833	10235	2037
834	10238	2023
835	10242	2009
836	10246	1995
837	10249	1981
838	10253	1967
839	10258	1953
840	10262	1940
841	10266	1926
842	10269	1912
843	10273	1898
844	10276	1885
845	10280	1871
846	10283	1857
847	10287	1843
848	10290	1830
849	10294	1816
850	10297	1802
851	10301	1789
852	10305	1775
853	10309	1762
854	10312	1748
855	10316	1735
856	10320	1722
857	10324	1708
858	10329	1695
859	10334	1682
860	10338	1669
861	10344	1656
862	10347	1642
863	10351	1629
864	10354	1616
865	10358	1602
866	10361	1589
867	10364	1576
868	10367	1562
869	10371	1549
870	10376	1536
871	10379	1523
872	10383	1510
873	10387	1497
874	10392	1484
875	10395	1471
876	10398	1458
877	10403	1445
878	10406	1432
879	10409	1419
880	10412	1406
881	10416	1393
882	10419	1380
883	10422	1367
884	10425	1354
885	10429	1341
886	10432	1329
887	10435	1316
888	10439	1303
889	10442	1290
890	10446	1278
891	10450	1265
892	10454	1252
893	10458	1240
894	10461	1227
895	10465	1214
896	10468	1202
